# BUSCO version is: 5.5.0 
# The lineage dataset is: ascomycota_odb10 (Creation date: 2020-09-10, number of genomes: 365, number of BUSCOs: 1706)
# Busco id
104906at4890
144126at4890
154484at4890
156418at4890
251027at4890
276054at4890
292056at4890
307380at4890
319865at4890
343384at4890
347969at4890
348370at4890
350097at4890
358349at4890
