STRAIN	COUNT
CBS_134.48	48779
DFA	18
IFM_54640	57629
IFM_55763	59275
IFM_56815	55292
IFM_57143	56650
IFM_57258	91240
IFM_61612	55816
JCM22294	52673
JCM22295	93892
JCM22299	51815
JCM22302	158260
MOD1-FUNGI3	52342
MOD1-FUNGI4	54192
NASAJPL_JS3-P2	39897
NASAJPL_JS3-R1	27171
NASAJPL_S_N-302-OC-P2	37615
NASAJPL_S_N-304-OC-P1	44417
NASAJPL_S_N-308-IC-B1	56167
NASAJPL_VS_III_B_KN_t	56790
NRRL_4875	55366
RIB2036	57571
RIB2623	53584
RIB2631	54934
WU-2223L	54646
