STRAIN1	STRAIN2	COUNT
IFM_54640 MOD1-FUNGI4tIFM_54640 MOD1-FUNGI4tIFM_54640 MOD1-FUNGI4t56604
IFM_54640 NASAJPL_JS3-P2tIFM_54640 NASAJPL_JS3-P2tIFM_54640 NASAJPL_JS3-P2t61517
IFM_54640 NASAJPL_JS3-R1tIFM_54640 NASAJPL_JS3-R1tIFM_54640 NASAJPL_JS3-R1t59793
IFM_54640 JCM22299tIFM_54640 JCM22299tIFM_54640 JCM22299t46664
IFM_55763 IFM_56815tIFM_55763 IFM_56815tIFM_55763 IFM_56815t41211
IFM_55763 IFM_57143tIFM_55763 IFM_57143tIFM_55763 IFM_57143t41102
IFM_55763 JCM22294tIFM_55763 JCM22294tIFM_55763 JCM22294t38335
IFM_55763 NASAJPL_JS3-P2tIFM_55763 NASAJPL_JS3-P2tIFM_55763 NASAJPL_JS3-P2t61412
IFM_54640 NRRL_4875tIFM_54640 NRRL_4875tIFM_54640 NRRL_4875t49530
IFM_54640 IFM_57258tIFM_54640 IFM_57258tIFM_54640 IFM_57258t126294
IFM_54640 MOD1-FUNGI3tIFM_54640 MOD1-FUNGI3tIFM_54640 MOD1-FUNGI3t55867
IFM_54640 JCM22294tIFM_54640 JCM22294tIFM_54640 JCM22294t46435
IFM_54640 RIB2036tIFM_54640 RIB2036tIFM_54640 RIB2036t44294
IFM_55763 IFM_61612tIFM_55763 IFM_61612tIFM_55763 IFM_61612t40416
IFM_54640 RIB2631tIFM_54640 RIB2631tIFM_54640 RIB2631t61201
IFM_55763 NASAJPL_S_N-302-OC-P2tIFM_55763 NASAJPL_S_N-302-OC-P2tIFM_55763 NASAJPL_S_N-302-OC-P2t49879
IFM_55763 DFAtIFM_55763 DFAtIFM_55763 DFAt59066
IFM_55763 JCM22299tIFM_55763 JCM22299tIFM_55763 JCM22299t38661
IFM_54640 WU-2223LtIFM_54640 WU-2223LtIFM_54640 WU-2223Lt46715
IFM_54640 RIB2623tIFM_54640 RIB2623tIFM_54640 RIB2623t46508
IFM_55763 RIB2623tIFM_55763 RIB2623tIFM_55763 RIB2623t37965
IFM_54640 JCM22295tIFM_54640 JCM22295tIFM_54640 JCM22295t130825
IFM_54640 NASAJPL_S_N-302-OC-P2tIFM_54640 NASAJPL_S_N-302-OC-P2tIFM_54640 NASAJPL_S_N-302-OC-P2t55634
IFM_55763 CBS_134.48tIFM_55763 CBS_134.48tIFM_55763 CBS_134.48t78225
IFM_55763 IFM_54640tIFM_55763 IFM_54640tIFM_55763 IFM_54640t46221
IFM_55763 NASAJPL_JS3-R1tIFM_55763 NASAJPL_JS3-R1tIFM_55763 NASAJPL_JS3-R1t60381
IFM_55763 NASAJPL_S_N-308-IC-B1tIFM_55763 NASAJPL_S_N-308-IC-B1tIFM_55763 NASAJPL_S_N-308-IC-B1t38041
IFM_54640 NASAJPL_S_N-304-OC-P1tIFM_54640 NASAJPL_S_N-304-OC-P1tIFM_54640 NASAJPL_S_N-304-OC-P1t50231
IFM_55763 MOD1-FUNGI3tIFM_55763 MOD1-FUNGI3tIFM_55763 MOD1-FUNGI3t44034
IFM_55763 MOD1-FUNGI4tIFM_55763 MOD1-FUNGI4tIFM_55763 MOD1-FUNGI4t44138
IFM_55763 NASAJPL_VS_III_B_KN_ttIFM_55763 NASAJPL_VS_III_B_KN_ttIFM_55763 NASAJPL_VS_III_B_KN_tt46554
IFM_55763 NRRL_4875tIFM_55763 NRRL_4875tIFM_55763 NRRL_4875t35294
IFM_55763 RIB2036tIFM_55763 RIB2036tIFM_55763 RIB2036t33006
IFM_55763 NASAJPL_S_N-304-OC-P1tIFM_55763 NASAJPL_S_N-304-OC-P1tIFM_55763 NASAJPL_S_N-304-OC-P1t36677
IFM_54640 JCM22302tIFM_54640 JCM22302tIFM_54640 JCM22302t209300
IFM_55763 WU-2223LtIFM_55763 WU-2223LtIFM_55763 WU-2223Lt37350
IFM_55763 IFM_57258tIFM_55763 IFM_57258tIFM_55763 IFM_57258t127693
IFM_55763 JCM22295tIFM_55763 JCM22295tIFM_55763 JCM22295t132203
IFM_55763 RIB2631tIFM_55763 RIB2631tIFM_55763 RIB2631t56874
IFM_56815 DFAtIFM_56815 DFAtIFM_56815 DFAt55197
IFM_56815 CBS_134.48tIFM_56815 CBS_134.48tIFM_56815 CBS_134.48t74898
IFM_55763 JCM22302tIFM_55763 JCM22302tIFM_55763 JCM22302t211206
IFM_56815 IFM_54640tIFM_56815 IFM_54640tIFM_56815 IFM_54640t41854
IFM_56815 IFM_55763tIFM_56815 IFM_55763tIFM_56815 IFM_55763t41211
IFM_56815 IFM_57258tIFM_56815 IFM_57258tIFM_56815 IFM_57258t124633
IFM_56815 IFM_57143tIFM_56815 IFM_57143tIFM_56815 IFM_57143t39756
IFM_56815 IFM_61612tIFM_56815 IFM_61612tIFM_56815 IFM_61612t41569
IFM_56815 MOD1-FUNGI3tIFM_56815 MOD1-FUNGI3tIFM_56815 MOD1-FUNGI3t50215
IFM_56815 JCM22299tIFM_56815 JCM22299tIFM_56815 JCM22299t38416
IFM_56815 JCM22294tIFM_56815 JCM22294tIFM_56815 JCM22294t38223
IFM_56815 JCM22295tIFM_56815 JCM22295tIFM_56815 JCM22295t129144
IFM_56815 NASAJPL_VS_III_B_KN_ttIFM_56815 NASAJPL_VS_III_B_KN_ttIFM_56815 NASAJPL_VS_III_B_KN_tt24387
IFM_56815 MOD1-FUNGI4tIFM_56815 MOD1-FUNGI4tIFM_56815 MOD1-FUNGI4t51227
IFM_56815 NASAJPL_S_N-304-OC-P1tIFM_56815 NASAJPL_S_N-304-OC-P1tIFM_56815 NASAJPL_S_N-304-OC-P1t42702
IFM_56815 NRRL_4875tIFM_56815 NRRL_4875tIFM_56815 NRRL_4875t40617
IFM_56815 NASAJPL_JS3-P2tIFM_56815 NASAJPL_JS3-P2tIFM_56815 NASAJPL_JS3-P2t58822
IFM_56815 NASAJPL_S_N-302-OC-P2tIFM_56815 NASAJPL_S_N-302-OC-P2tIFM_56815 NASAJPL_S_N-302-OC-P2t51782
IFM_56815 NASAJPL_JS3-R1tIFM_56815 NASAJPL_JS3-R1tIFM_56815 NASAJPL_JS3-R1t57477
IFM_56815 RIB2631tIFM_56815 RIB2631tIFM_56815 RIB2631t57972
IFM_56815 RIB2036tIFM_56815 RIB2036tIFM_56815 RIB2036t44195
IFM_57143 IFM_56815tIFM_57143 IFM_56815tIFM_57143 IFM_56815t39756
IFM_56815 NASAJPL_S_N-308-IC-B1tIFM_56815 NASAJPL_S_N-308-IC-B1tIFM_56815 NASAJPL_S_N-308-IC-B1t39644
IFM_57143 IFM_61612tIFM_57143 IFM_61612tIFM_57143 IFM_61612t31283
IFM_56815 WU-2223LtIFM_56815 WU-2223LtIFM_56815 WU-2223Lt37475
IFM_56815 JCM22302tIFM_56815 JCM22302tIFM_56815 JCM22302t207452
IFM_57143 IFM_55763tIFM_57143 IFM_55763tIFM_57143 IFM_55763t41102
IFM_57143 JCM22299tIFM_57143 JCM22299tIFM_57143 JCM22299t36284
IFM_56815 RIB2623tIFM_56815 RIB2623tIFM_56815 RIB2623t38307
IFM_57143 IFM_57258tIFM_57143 IFM_57258tIFM_57143 IFM_57258t125580
IFM_57143 JCM22294tIFM_57143 JCM22294tIFM_57143 JCM22294t36067
IFM_57143 DFAtIFM_57143 DFAtIFM_57143 DFAt56433
IFM_57143 MOD1-FUNGI4tIFM_57143 MOD1-FUNGI4tIFM_57143 MOD1-FUNGI4t50949
IFM_57143 IFM_54640tIFM_57143 IFM_54640tIFM_57143 IFM_54640t49112
IFM_57143 CBS_134.48tIFM_57143 CBS_134.48tIFM_57143 CBS_134.48t75864
IFM_57143 JCM22295tIFM_57143 JCM22295tIFM_57143 JCM22295t130370
IFM_57143 RIB2036tIFM_57143 RIB2036tIFM_57143 RIB2036t41004
IFM_57143 NASAJPL_JS3-P2tIFM_57143 NASAJPL_JS3-P2tIFM_57143 NASAJPL_JS3-P2t59268
IFM_57258 CBS_134.48tIFM_57258 CBS_134.48tIFM_57258 CBS_134.48t122357
IFM_57143 NASAJPL_JS3-R1tIFM_57143 NASAJPL_JS3-R1tIFM_57143 NASAJPL_JS3-R1t58168
IFM_57143 NASAJPL_S_N-308-IC-B1tIFM_57143 NASAJPL_S_N-308-IC-B1tIFM_57143 NASAJPL_S_N-308-IC-B1t41614
IFM_57143 MOD1-FUNGI3tIFM_57143 MOD1-FUNGI3tIFM_57143 MOD1-FUNGI3t50543
IFM_57143 WU-2223LtIFM_57143 WU-2223LtIFM_57143 WU-2223Lt36952
IFM_57143 NASAJPL_S_N-302-OC-P2tIFM_57143 NASAJPL_S_N-302-OC-P2tIFM_57143 NASAJPL_S_N-302-OC-P2t52289
IFM_57143 NASAJPL_VS_III_B_KN_ttIFM_57143 NASAJPL_VS_III_B_KN_ttIFM_57143 NASAJPL_VS_III_B_KN_tt44674
IFM_57143 NASAJPL_S_N-304-OC-P1tIFM_57143 NASAJPL_S_N-304-OC-P1tIFM_57143 NASAJPL_S_N-304-OC-P1t43873
IFM_57143 NRRL_4875tIFM_57143 NRRL_4875tIFM_57143 NRRL_4875t36031
IFM_57143 RIB2631tIFM_57143 RIB2631tIFM_57143 RIB2631t56778
IFM_57143 RIB2623tIFM_57143 RIB2623tIFM_57143 RIB2623t36103
IFM_57258 IFM_54640tIFM_57258 IFM_54640tIFM_57258 IFM_54640t126294
IFM_57258 JCM22294tIFM_57258 JCM22294tIFM_57258 JCM22294t122022
IFM_57258 DFAtIFM_57258 DFAtIFM_57258 DFAt91058
IFM_57258 IFM_55763tIFM_57258 IFM_55763tIFM_57258 IFM_55763t127693
IFM_57258 MOD1-FUNGI3tIFM_57258 MOD1-FUNGI3tIFM_57258 MOD1-FUNGI3t121630
IFM_61612 NASAJPL_JS3-R1tIFM_61612 NASAJPL_JS3-R1tIFM_61612 NASAJPL_JS3-R1t57504
IFM_57258 MOD1-FUNGI4tIFM_57258 MOD1-FUNGI4tIFM_57258 MOD1-FUNGI4t123485
IFM_57258 JCM22299tIFM_57258 JCM22299tIFM_57258 JCM22299t121218
IFM_57258 JCM22295tIFM_57258 JCM22295tIFM_57258 JCM22295t145878
IFM_57258 IFM_57143tIFM_57258 IFM_57143tIFM_57258 IFM_57143t125580
IFM_57258 NASAJPL_S_N-302-OC-P2tIFM_57258 NASAJPL_S_N-302-OC-P2tIFM_57258 NASAJPL_S_N-302-OC-P2t111165
IFM_57258 IFM_61612tIFM_57258 IFM_61612tIFM_57258 IFM_61612t125053
IFM_57143 JCM22302tIFM_57143 JCM22302tIFM_57143 JCM22302t208610
IFM_57258 NASAJPL_JS3-P2tIFM_57258 NASAJPL_JS3-P2tIFM_57258 NASAJPL_JS3-P2t113216
IFM_57258 NASAJPL_JS3-R1tIFM_57258 NASAJPL_JS3-R1tIFM_57258 NASAJPL_JS3-R1t105233
IFM_57258 NRRL_4875tIFM_57258 NRRL_4875tIFM_57258 NRRL_4875t123611
IFM_61612 IFM_55763tIFM_61612 IFM_55763tIFM_61612 IFM_55763t40416
IFM_57258 RIB2036tIFM_57258 RIB2036tIFM_57258 RIB2036t126057
IFM_57258 NASAJPL_S_N-308-IC-B1tIFM_57258 NASAJPL_S_N-308-IC-B1tIFM_57258 NASAJPL_S_N-308-IC-B1t125119
IFM_61612 DFAtIFM_61612 DFAtIFM_61612 DFAt55702
IFM_61612 IFM_57143tIFM_61612 IFM_57143tIFM_61612 IFM_57143t31283
IFM_61612 JCM22294tIFM_61612 JCM22294tIFM_61612 JCM22294t34973
IFM_61612 NASAJPL_S_N-304-OC-P1tIFM_61612 NASAJPL_S_N-304-OC-P1tIFM_61612 NASAJPL_S_N-304-OC-P1t41605
IFM_57258 IFM_56815tIFM_57258 IFM_56815tIFM_57258 IFM_56815t124633
IFM_57258 RIB2631tIFM_57258 RIB2631tIFM_57258 RIB2631t123736
IFM_61612 NASAJPL_JS3-P2tIFM_61612 NASAJPL_JS3-P2tIFM_61612 NASAJPL_JS3-P2t59066
IFM_57258 RIB2623tIFM_57258 RIB2623tIFM_57258 RIB2623t122836
IFM_57258 NASAJPL_VS_III_B_KN_ttIFM_57258 NASAJPL_VS_III_B_KN_ttIFM_57258 NASAJPL_VS_III_B_KN_tt124965
IFM_57258 NASAJPL_S_N-304-OC-P1tIFM_57258 NASAJPL_S_N-304-OC-P1tIFM_57258 NASAJPL_S_N-304-OC-P1t115991
IFM_61612 JCM22299tIFM_61612 JCM22299tIFM_61612 JCM22299t35087
IFM_61612 NASAJPL_VS_III_B_KN_ttIFM_61612 NASAJPL_VS_III_B_KN_ttIFM_61612 NASAJPL_VS_III_B_KN_tt46680
IFM_57258 WU-2223LtIFM_57258 WU-2223LtIFM_57258 WU-2223Lt124148
IFM_61612 IFM_56815tIFM_61612 IFM_56815tIFM_61612 IFM_56815t41569
IFM_61612 MOD1-FUNGI4tIFM_61612 MOD1-FUNGI4tIFM_61612 MOD1-FUNGI4t51712
IFM_61612 CBS_134.48tIFM_61612 CBS_134.48tIFM_61612 CBS_134.48t74901
IFM_61612 MOD1-FUNGI3tIFM_61612 MOD1-FUNGI3tIFM_61612 MOD1-FUNGI3t50534
IFM_61612 NASAJPL_S_N-302-OC-P2tIFM_61612 NASAJPL_S_N-302-OC-P2tIFM_61612 NASAJPL_S_N-302-OC-P2t52079
IFM_61612 IFM_54640tIFM_61612 IFM_54640tIFM_61612 IFM_54640t45680
IFM_61612 NASAJPL_S_N-308-IC-B1tIFM_61612 NASAJPL_S_N-308-IC-B1tIFM_61612 NASAJPL_S_N-308-IC-B1t34850
IFM_61612 JCM22295tIFM_61612 JCM22295tIFM_61612 JCM22295t129199
IFM_61612 IFM_57258tIFM_61612 IFM_57258tIFM_61612 IFM_57258t125053
IFM_61612 NRRL_4875tIFM_61612 NRRL_4875tIFM_61612 NRRL_4875t35926
IFM_61612 RIB2036tIFM_61612 RIB2036tIFM_61612 RIB2036t38652
IFM_57258 JCM22302tIFM_57258 JCM22302tIFM_57258 JCM22302t240399
IFM_61612 RIB2623tIFM_61612 RIB2623tIFM_61612 RIB2623t34899
IFM_61612 RIB2631tIFM_61612 RIB2631tIFM_61612 RIB2631t57723
IFM_61612 WU-2223LtIFM_61612 WU-2223LtIFM_61612 WU-2223Lt33725
IFM_61612 JCM22302tIFM_61612 JCM22302tIFM_61612 JCM22302t207673
JCM22294 IFM_54640tJCM22294 IFM_54640tJCM22294 IFM_54640t46435
JCM22294 DFAtJCM22294 DFAtJCM22294 DFAt52190
JCM22294 CBS_134.48tJCM22294 CBS_134.48tJCM22294 CBS_134.48t72725
JCM22294 IFM_56815tJCM22294 IFM_56815tJCM22294 IFM_56815t38223
JCM22294 IFM_55763tJCM22294 IFM_55763tJCM22294 IFM_55763t38335
JCM22294 IFM_57143tJCM22294 IFM_57143tJCM22294 IFM_57143t36067
JCM22294 IFM_61612tJCM22294 IFM_61612tJCM22294 IFM_61612t34973
JCM22294 JCM22299tJCM22294 JCM22299tJCM22294 JCM22299t2639
JCM22294 IFM_57258tJCM22294 IFM_57258tJCM22294 IFM_57258t122022
JCM22294 MOD1-FUNGI4tJCM22294 MOD1-FUNGI4tJCM22294 MOD1-FUNGI4t46116
JCM22294 JCM22295tJCM22294 JCM22295tJCM22294 JCM22295t125925
JCM22294 MOD1-FUNGI3tJCM22294 MOD1-FUNGI3tJCM22294 MOD1-FUNGI3t44951
JCM22294 WU-2223LtJCM22294 WU-2223LtJCM22294 WU-2223Lt5523
JCM22294 NASAJPL_JS3-R1tJCM22294 NASAJPL_JS3-R1tJCM22294 NASAJPL_JS3-R1t55060
JCM22294 NASAJPL_S_N-302-OC-P2tJCM22294 NASAJPL_S_N-302-OC-P2tJCM22294 NASAJPL_S_N-302-OC-P2t50525
JCM22294 RIB2036tJCM22294 RIB2036tJCM22294 RIB2036t34327
JCM22294 NASAJPL_JS3-P2tJCM22294 NASAJPL_JS3-P2tJCM22294 NASAJPL_JS3-P2t57346
JCM22294 JCM22302tJCM22294 JCM22302tJCM22294 JCM22302t204191
JCM22294 NASAJPL_S_N-308-IC-B1tJCM22294 NASAJPL_S_N-308-IC-B1tJCM22294 NASAJPL_S_N-308-IC-B1t32431
JCM22294 NRRL_4875tJCM22294 NRRL_4875tJCM22294 NRRL_4875t35863
JCM22294 RIB2623tJCM22294 RIB2623tJCM22294 RIB2623t2799
JCM22294 NASAJPL_VS_III_B_KN_ttJCM22294 NASAJPL_VS_III_B_KN_ttJCM22294 NASAJPL_VS_III_B_KN_tt43289
JCM22295 IFM_56815tJCM22295 IFM_56815tJCM22295 IFM_56815t129144
JCM22294 RIB2631tJCM22294 RIB2631tJCM22294 RIB2631t55273
JCM22294 NASAJPL_S_N-304-OC-P1tJCM22294 NASAJPL_S_N-304-OC-P1tJCM22294 NASAJPL_S_N-304-OC-P1t35604
JCM22295 DFAtJCM22295 DFAtJCM22295 DFAt93388
JCM22295 CBS_134.48tJCM22295 CBS_134.48tJCM22295 CBS_134.48t125877
JCM22295 IFM_54640tJCM22295 IFM_54640tJCM22295 IFM_54640t130825
JCM22295 IFM_57143tJCM22295 IFM_57143tJCM22295 IFM_57143t130370
JCM22295 NASAJPL_JS3-P2tJCM22295 NASAJPL_JS3-P2tJCM22295 NASAJPL_JS3-P2t116751
JCM22295 MOD1-FUNGI4tJCM22295 MOD1-FUNGI4tJCM22295 MOD1-FUNGI4t127380
JCM22295 IFM_61612tJCM22295 IFM_61612tJCM22295 IFM_61612t129199
JCM22295 NASAJPL_JS3-R1tJCM22295 NASAJPL_JS3-R1tJCM22295 NASAJPL_JS3-R1t108375
JCM22295 IFM_55763tJCM22295 IFM_55763tJCM22295 IFM_55763t132203
JCM22295 NRRL_4875tJCM22295 NRRL_4875tJCM22295 NRRL_4875t127480
JCM22295 JCM22294tJCM22295 JCM22294tJCM22295 JCM22294t125925
JCM22295 NASAJPL_S_N-304-OC-P1tJCM22295 NASAJPL_S_N-304-OC-P1tJCM22295 NASAJPL_S_N-304-OC-P1t119278
JCM22295 IFM_57258tJCM22295 IFM_57258tJCM22295 IFM_57258t145878
JCM22295 JCM22299tJCM22295 JCM22299tJCM22295 JCM22299t124979
JCM22295 NASAJPL_S_N-308-IC-B1tJCM22295 NASAJPL_S_N-308-IC-B1tJCM22295 NASAJPL_S_N-308-IC-B1t129374
JCM22295 RIB2631tJCM22295 RIB2631tJCM22295 RIB2631t128487
JCM22295 MOD1-FUNGI3tJCM22295 MOD1-FUNGI3tJCM22295 MOD1-FUNGI3t125451
JCM22295 RIB2036tJCM22295 RIB2036tJCM22295 RIB2036t130365
JCM22295 NASAJPL_S_N-302-OC-P2tJCM22295 NASAJPL_S_N-302-OC-P2tJCM22295 NASAJPL_S_N-302-OC-P2t115080
JCM22299 IFM_55763tJCM22299 IFM_55763tJCM22299 IFM_55763t38661
JCM22299 IFM_56815tJCM22299 IFM_56815tJCM22299 IFM_56815t38416
JCM22299 JCM22294tJCM22299 JCM22294tJCM22299 JCM22294t2639
JCM22299 NASAJPL_JS3-P2tJCM22299 NASAJPL_JS3-P2tJCM22299 NASAJPL_JS3-P2t56681
JCM22299 RIB2623tJCM22299 RIB2623tJCM22299 RIB2623t3754
JCM22299 IFM_61612tJCM22299 IFM_61612tJCM22299 IFM_61612t35087
JCM22295 RIB2623tJCM22295 RIB2623tJCM22295 RIB2623t126762
JCM22299 DFAtJCM22299 DFAtJCM22299 DFAt51123
JCM22295 NASAJPL_VS_III_B_KN_ttJCM22295 NASAJPL_VS_III_B_KN_ttJCM22295 NASAJPL_VS_III_B_KN_tt129911
JCM22299 CBS_134.48tJCM22299 CBS_134.48tJCM22299 CBS_134.48t72184
JCM22295 WU-2223LtJCM22295 WU-2223LtJCM22295 WU-2223Lt128246
JCM22299 NASAJPL_JS3-R1tJCM22299 NASAJPL_JS3-R1tJCM22299 NASAJPL_JS3-R1t54173
JCM22299 WU-2223LtJCM22299 WU-2223LtJCM22299 WU-2223Lt6370
JCM22299 RIB2036tJCM22299 RIB2036tJCM22299 RIB2036t34719
JCM22299 IFM_54640tJCM22299 IFM_54640tJCM22299 IFM_54640t46664
JCM22295 JCM22302tJCM22295 JCM22302tJCM22295 JCM22302t241828
JCM22299 IFM_57143tJCM22299 IFM_57143tJCM22299 IFM_57143t36284
JCM22299 MOD1-FUNGI3tJCM22299 MOD1-FUNGI3tJCM22299 MOD1-FUNGI3t44607
JCM22299 NASAJPL_S_N-302-OC-P2tJCM22299 NASAJPL_S_N-302-OC-P2tJCM22299 NASAJPL_S_N-302-OC-P2t49923
JCM22299 NASAJPL_S_N-304-OC-P1tJCM22299 NASAJPL_S_N-304-OC-P1tJCM22299 NASAJPL_S_N-304-OC-P1t35282
JCM22299 JCM22295tJCM22299 JCM22295tJCM22299 JCM22295t124979
JCM22299 NASAJPL_VS_III_B_KN_ttJCM22299 NASAJPL_VS_III_B_KN_ttJCM22299 NASAJPL_VS_III_B_KN_tt43279
JCM22299 IFM_57258tJCM22299 IFM_57258tJCM22299 IFM_57258t121218
JCM22299 NASAJPL_S_N-308-IC-B1tJCM22299 NASAJPL_S_N-308-IC-B1tJCM22299 NASAJPL_S_N-308-IC-B1t32782
JCM22299 MOD1-FUNGI4tJCM22299 MOD1-FUNGI4tJCM22299 MOD1-FUNGI4t45937
JCM22299 NRRL_4875tJCM22299 NRRL_4875tJCM22299 NRRL_4875t36019
JCM22299 RIB2631tJCM22299 RIB2631tJCM22299 RIB2631t55057
JCM22302 IFM_56815tJCM22302 IFM_56815tJCM22302 IFM_56815t207452
MOD1-FUNGI3 DFAtMOD1-FUNGI3 DFAtMOD1-FUNGI3 DFAt52019
JCM22302 DFAtJCM22302 DFAtJCM22302 DFAt157748
JCM22302 CBS_134.48tJCM22302 CBS_134.48tJCM22302 CBS_134.48t201718
JCM22302 MOD1-FUNGI4tJCM22302 MOD1-FUNGI4tJCM22302 MOD1-FUNGI4t206027
JCM22299 JCM22302tJCM22299 JCM22302tJCM22299 JCM22302t203135
JCM22302 NASAJPL_S_N-302-OC-P2tJCM22302 NASAJPL_S_N-302-OC-P2tJCM22302 NASAJPL_S_N-302-OC-P2t188567
JCM22302 JCM22294tJCM22302 JCM22294tJCM22302 JCM22294t204191
