STRAIN1	STRAIN2	COUNT
CBS_134.48 DFAtCBS_134.48 DFAtCBS_134.48 DFAt48765
CBS_134.48 IFM_54640tCBS_134.48 IFM_54640tCBS_134.48 IFM_54640t75523
CBS_134.48 IFM_55763tCBS_134.48 IFM_55763tCBS_134.48 IFM_55763t78225
CBS_134.48 IFM_57143tCBS_134.48 IFM_57143tCBS_134.48 IFM_57143t75864
CBS_134.48 IFM_56815tCBS_134.48 IFM_56815tCBS_134.48 IFM_56815t74898
CBS_134.48 IFM_61612tCBS_134.48 IFM_61612tCBS_134.48 IFM_61612t74901
CBS_134.48 JCM22294tCBS_134.48 JCM22294tCBS_134.48 JCM22294t72725
CBS_134.48 IFM_57258tCBS_134.48 IFM_57258tCBS_134.48 IFM_57258t122357
CBS_134.48 JCM22299tCBS_134.48 JCM22299tCBS_134.48 JCM22299t72184
CBS_134.48 JCM22295tCBS_134.48 JCM22295tCBS_134.48 JCM22295t125877
CBS_134.48 JCM22302tCBS_134.48 JCM22302tCBS_134.48 JCM22302t201718
CBS_134.48 MOD1-FUNGI3tCBS_134.48 MOD1-FUNGI3tCBS_134.48 MOD1-FUNGI3t73802
CBS_134.48 MOD1-FUNGI4tCBS_134.48 MOD1-FUNGI4tCBS_134.48 MOD1-FUNGI4t75105
CBS_134.48 NASAJPL_S_N-302-OC-P2tCBS_134.48 NASAJPL_S_N-302-OC-P2tCBS_134.48 NASAJPL_S_N-302-OC-P2t65217
CBS_134.48 NASAJPL_S_N-304-OC-P1tCBS_134.48 NASAJPL_S_N-304-OC-P1tCBS_134.48 NASAJPL_S_N-304-OC-P1t68175
CBS_134.48 NASAJPL_S_N-308-IC-B1tCBS_134.48 NASAJPL_S_N-308-IC-B1tCBS_134.48 NASAJPL_S_N-308-IC-B1t74826
CBS_134.48 NASAJPL_JS3-P2tCBS_134.48 NASAJPL_JS3-P2tCBS_134.48 NASAJPL_JS3-P2t63807
CBS_134.48 NASAJPL_JS3-R1tCBS_134.48 NASAJPL_JS3-R1tCBS_134.48 NASAJPL_JS3-R1t58466
DFA IFM_54640tDFA IFM_54640tDFA IFM_54640t57174
CBS_134.48 RIB2036tCBS_134.48 RIB2036tCBS_134.48 RIB2036t75941
CBS_134.48 NASAJPL_VS_III_B_KN_ttCBS_134.48 NASAJPL_VS_III_B_KN_ttCBS_134.48 NASAJPL_VS_III_B_KN_tt76460
DFA IFM_57143tDFA IFM_57143tDFA IFM_57143t56433
CBS_134.48 RIB2623tCBS_134.48 RIB2623tCBS_134.48 RIB2623t73154
CBS_134.48 WU-2223LtCBS_134.48 WU-2223LtCBS_134.48 WU-2223Lt73480
DFA IFM_55763tDFA IFM_55763tDFA IFM_55763t59066
DFA MOD1-FUNGI4tDFA MOD1-FUNGI4tDFA MOD1-FUNGI4t54062
DFA MOD1-FUNGI3tDFA MOD1-FUNGI3tDFA MOD1-FUNGI3t52019
DFA JCM22294tDFA JCM22294tDFA JCM22294t52190
DFA NASAJPL_JS3-P2tDFA NASAJPL_JS3-P2tDFA NASAJPL_JS3-P2t37896
CBS_134.48 NRRL_4875tCBS_134.48 NRRL_4875tCBS_134.48 NRRL_4875t75501
DFA IFM_56815tDFA IFM_56815tDFA IFM_56815t55197
DFA IFM_57258tDFA IFM_57258tDFA IFM_57258t91058
DFA CBS_134.48tDFA CBS_134.48tDFA CBS_134.48t48765
CBS_134.48 RIB2631tCBS_134.48 RIB2631tCBS_134.48 RIB2631t73794
DFA NASAJPL_S_N-308-IC-B1tDFA NASAJPL_S_N-308-IC-B1tDFA NASAJPL_S_N-308-IC-B1t56005
DFA JCM22299tDFA JCM22299tDFA JCM22299t51123
DFA IFM_61612tDFA IFM_61612tDFA IFM_61612t55702
DFA NASAJPL_JS3-R1tDFA NASAJPL_JS3-R1tDFA NASAJPL_JS3-R1t24923
DFA WU-2223LtDFA WU-2223LtDFA WU-2223Lt54528
DFA RIB2036tDFA RIB2036tDFA RIB2036t57096
DFA NASAJPL_VS_III_B_KN_ttDFA NASAJPL_VS_III_B_KN_ttDFA NASAJPL_VS_III_B_KN_tt56604
DFA JCM22302tDFA JCM22302tDFA JCM22302t157748
DFA NASAJPL_S_N-302-OC-P2tDFA NASAJPL_S_N-302-OC-P2tDFA NASAJPL_S_N-302-OC-P2t35102
DFA NASAJPL_S_N-304-OC-P1tDFA NASAJPL_S_N-304-OC-P1tDFA NASAJPL_S_N-304-OC-P1t42085
DFA NRRL_4875tDFA NRRL_4875tDFA NRRL_4875t52893
DFA JCM22295tDFA JCM22295tDFA JCM22295t93388
IFM_54640 DFAtIFM_54640 DFAtIFM_54640 DFAt57174
IFM_54640 IFM_55763tIFM_54640 IFM_55763tIFM_54640 IFM_55763t46221
DFA RIB2631tDFA RIB2631tDFA RIB2631t54562
IFM_54640 NASAJPL_S_N-308-IC-B1tIFM_54640 NASAJPL_S_N-308-IC-B1tIFM_54640 NASAJPL_S_N-308-IC-B1t45466
IFM_54640 NASAJPL_VS_III_B_KN_ttIFM_54640 NASAJPL_VS_III_B_KN_ttIFM_54640 NASAJPL_VS_III_B_KN_tt43734
IFM_54640 CBS_134.48tIFM_54640 CBS_134.48tIFM_54640 CBS_134.48t75523
IFM_54640 IFM_56815tIFM_54640 IFM_56815tIFM_54640 IFM_56815t41854
IFM_54640 IFM_61612tIFM_54640 IFM_61612tIFM_54640 IFM_61612t45680
DFA RIB2623tDFA RIB2623tDFA RIB2623t53134
IFM_54640 IFM_57143tIFM_54640 IFM_57143tIFM_54640 IFM_57143t49112
