chrom	length	bases	mean	min	max
scaffold_1	6137164	15172081	2.47	0	96
scaffold_1_region	6137164	15172081	2.47	0	96
scaffold_2	4972404	12003065	2.41	0	31
scaffold_2_region	4972404	12003065	2.41	0	31
scaffold_3	4857108	11952450	2.46	0	15
scaffold_3_region	4857108	11952450	2.46	0	15
scaffold_4	4183659	9641039	2.30	0	17
scaffold_4_region	4183659	9641039	2.30	0	17
scaffold_5	4154191	9653974	2.32	0	515
scaffold_5_region	4154191	9653974	2.32	0	515
scaffold_6	3981587	10834977	2.72	0	361
scaffold_6_region	3981587	10834977	2.72	0	361
scaffold_7	3870736	9544982	2.47	0	209
scaffold_7_region	3870736	9544982	2.47	0	209
scaffold_8	3291039	7950532	2.42	0	18
scaffold_8_region	3291039	7950532	2.42	0	18
scaffold_9	32403	2560836	79.03	0	120
scaffold_9_region	32403	2560836	79.03	0	120
total	35480291	89313936	2.52	0	515
total_region	35480291	89313936	2.52	0	515
