Strain,FileBase
WU-2223L,DRR231531_[12].fastq.gz
RIB2623,DRR308519_[12].fastq.gz
RIB2631,DRR308520_[12].fastq.gz
RIB2036,DRR308521_[12].fastq.gz
JCM22294,DRR308529_[12].fastq.gz
JCM22295,DRR308530_[12].fastq.gz
JCM22299,DRR308531_[12].fastq.gz
JCM22302,DRR308532_[12].fastq.gz
IFM_54640,DRR385063_[12].fastq.gz
IFM_55763,DRR385064_[12].fastq.gz
IFM_57143,DRR385065_[12].fastq.gz
IFM_57258,DRR385066_[12].fastq.gz
IFM_56815,DRR385073_[12].fastq.gz
IFM_61612,DRR385074_[12].fastq.gz
CBS_134.48,SRR3927524_[12].fastq.gz
MOD1-FUNGI3,SRR7889976_[12].fastq.gz
MOD1-FUNGI4,SRR7889979_[12].fastq.gz
NASAJPL_VS_III_B_KN_t,SRR12385190_[12].fastq.gz
NASAJPL_S_N-302-OC-P2,SRR12439775_[12].fastq.gz
NASAJPL_S_N-304-OC-P1,SRR12439781_[12].fastq.gz
NASAJPL_S_N-308-IC-B1,SRR12439790_[12].fastq.gz
NASAJPL_JS3-R1,SRR12439810_[12].fastq.gz
NASAJPL_JS3-P2,SRR12439762_[12].fastq.gz
NRRL_4875,SRR25758810_[12].fastq.gz
DFA,4632_R?_001.fastq.gz
