CHR	chrlen	CBS_134.48	DFA	IFM_54640	IFM_55763	IFM_56815	IFM_57143	IFM_57258	IFM_61612	JCM22294	JCM22295	JCM22299	JCM22302	MOD1-FUNGI3	MOD1-FUNGI4	NASAJPL_JS3-P2	NASAJPL_JS3-R1	NASAJPL_S_N-302-OC-P2	NASAJPL_S_N-304-OC-P1	NASAJPL_S_N-308-IC-B1	NASAJPL_VS_III_B_KN_t	NRRL_4875	RIB2036	RIB2623	RIB2631	WU-2223L
1	6137164	1.01	1	1	1	1	1	1	1	1.01	1.02	1.01	1.03	1.02	1.01	1	1.01	1	1.01	1	1	1.01	1	1	1	1
2	4972404	1.01	1	1	1	1	1.01	1.01	1	1	1.02	1	1.01	1.01	0.99	1	1.02	1	1	1	1	1	1	1	1	1
3	4857108	1.01	1	1	1	1.01	1	1.01	1	1.01	1.02	1.02	1.02	1.04	0.99	1	1	1.01	1.01	1	1	1.01	1	1	1	1
4	4183659	0.98	0.99	0.99	0.99	0.98	0.99	0.98	0.99	0.99	0.97	0.98	0.97	0.95	1.01	1	0.98	0.98	0.99	0.99	0.99	0.98	1	1	1.01	0.99
5	4154191	0.99	1	1.01	1	0.99	1	1	1	1	1	0.98	1	0.96	1	0.99	0.98	0.99	0.98	1	0.99	0.99	0.99	0.99	1	1
6	3981587	0.99	1.01	1	1	1	0.99	0.99	1	0.99	0.99	1	0.99	1.01	1.02	1	0.99	0.99	1	1	1	1	0.99	1	0.99	1
7	3870736	1	1	1	0.99	0.99	0.99	1	1	1	0.98	1.01	0.98	1	1	1.01	1	1	1.01	1	1	1	1.01	1	1.01	1
8	3291039	0.98	1	1.01	1	1	1.01	1	1	1	0.98	0.99	0.97	0.99	0.96	1	0.99	0.99	1	1	1	1	1.01	1	0.99	1
9	32403	32.53	14.5	70.48	57.01	70.6	71.39	54.02	64.13	1.99	3.22	0.67	3.9	2.63	1.27	24.28	14.78	31.33	28.01	15.74	15.03	9.24	39.03	12.97	9.26	18.66
