CHR	chrlen	CBS_134.48	DFA	IFM_54640	IFM_55763	IFM_56815	IFM_57143	IFM_57258	IFM_61612	JCM22294	JCM22295	JCM22299	JCM22302	MOD1-FUNGI3	MOD1-FUNGI4	NASAJPL_JS3-P2	NASAJPL_JS3-R1	NASAJPL_S_N-302-OC-P2	NASAJPL_S_N-304-OC-P1	NASAJPL_S_N-308-IC-B1	NASAJPL_VS_III_B_KN_t	NRRL_4875	RIB2036	RIB2623	RIB2631	WU-2223L
1	6137164	1	0.99	0.98	0.99	0.98	0.99	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.97	0.98	0.98	0.99	1	0.97	0.97	1	0.96	0.97	0.96	0.97
2	4972404	0.97	0.99	0.96	1	0.96	0.97	0.96	0.95	0.94	0.94	0.94	1	0.95	0.94	0.95	0.96	0.96	0.96	0.94	0.95	0.96	0.95	0.94	1.02	0.94
3	4857108	0.99	0.99	0.98	0.98	0.98	0.99	0.99	0.95	0.96	0.96	0.97	0.97	0.98	0.95	0.96	0.95	0.98	0.97	0.95	0.96	0.98	0.93	0.95	0.95	0.95
4	4183659	0.93	0.98	0.92	0.94	0.91	0.94	0.91	0.91	0.9	0.86	0.9	0.88	0.88	0.93	0.93	0.92	0.92	0.94	0.91	0.91	0.93	0.92	0.96	0.93	0.9
5	4154191	0.92	0.97	0.93	0.95	0.92	0.96	0.95	0.92	0.97	0.91	0.9	0.91	0.89	0.92	0.93	0.93	0.93	0.93	0.9	0.91	0.93	0.91	0.9	0.91	0.9
6	3981587	1.01	1.09	1.09	1.11	1.06	1.09	1.06	1.03	1.05	1.06	1.06	1.04	0.99	1	1.08	1.08	1.09	1.09	1.02	1.02	1.08	1.04	1.02	1.05	1.01
7	3870736	0.99	0.99	0.97	1	0.97	0.99	0.99	0.97	0.96	0.94	0.96	0.95	0.96	0.97	0.98	0.97	0.98	0.99	0.97	0.97	0.99	0.97	0.96	0.98	0.95
8	3291039	0.95	0.98	1	1	0.97	1.01	0.95	0.96	0.91	0.89	0.91	0.92	0.9	0.9	0.96	0.95	0.96	0.97	0.97	0.95	0.98	0.94	0.92	0.94	0.92
9	32403	32.45	14.58	70.79	57.1	71.06	70.97	53.91	64.41	1.96	3.26	0.63	3.78	2.66	1.25	24.24	14.23	30.86	27.99	15.85	15.08	9.13	38.28	13.12	9.21	18.98
